Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15",C1206,2,2.2uF,C170101
"C10, C11",C1206,2,47uF,C403725
C12,C1206,1,100nF, C1945
"C13, C16",C0402,2,100nF,C162178
"C14, C9",C0805,2,100nF,C28233
C17,C0402,1,4.7uF,C6119795
C18,C0402,1,2200pF,C710671
"C19, C20",C0402,2,100pF,C576700
"C2, C21, C22, C26, C27, C6, C7, C8",C0805,8,2.2uF, C22367838
"C23, C24, C25, C3, C4, C5",C0805,6,2.2uF,C22367838
"C28, C29",C0603,2,100nF,C77058
"C30, C31, C33, C34, C35, C36, C37, C38, C39, C40, C41, C45, C49",C0402,13,100nF,C152814
"C32, C42, C48",C0402,3,4.7uF,C5718966
"C43, C44",C0603,2,4.7uF,C5360844
"C46, C47",C0402,2,15pF,C326803
"C50, C51",C0402,2,10uF,C315248
"C52, C53, C54",C0402,3,220nF,C71693
"C55, C94",0402,2,10uF,C315248 
"C56, C57, C59, C63, C64, C65, C66",0402,7,100nF,C1525
"C58, C62",0402,2,1uF,C52923
"C60, C61, C67",0402,3,10nF,C15195
"C68, C71, C75, C80, C81, C82, C83, C84, C86, C89, C91, C95",0402,12,100nF,C1525 
"C69, C76",C0603,2,10nF,C76599
"C70, C74",0402,2,4.7uF,C318563 
C72,0402,1,10nF,C1518210
C73,0402,1,18nF,C106202 
"C77, C78",C0603,2,10nF,C85973
C79,0402,1,22pF,C1864677 
"C85, C88, C90",0402,3,1nF,C77018 
C87,C0603,1,100pF,C14858
"C92, C93",C0402,2,4u7,C326586
"C96, C97",0402,2,4u7,C326586
C98,0402,1,1uF,C1525  
C99,0402,1,100nF,C1525  
CN1,HDMI-SMD_A71-05H4-111N1,1,A71-05H4-111N1,C2682170
"D1, D3",SMA_L4.3-W2.6-LS5.0-RD,2,SS320_C18199172,C18199172
D2,SOD-123_L2.8-W1.8-LS3.7-RD,1,1N4148W T4,C2099
"D4, D5",SOT-23,2,BAV99,C2500
D6,0805,1,Green LED,C84260
D7,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,BAV99-7-F,C106919 
F1,0603,1,1A,C207017
"FB1, FB2",L0805,2,1.2Ω,C46435
"FB10, FB11, FB7, FB8, FB9",0603,5,~,C14709 
"FB3, FB4",L0603,2,8.5Ω,C5339211
"FB5, FB6",1206,2,120Ohm 3 A,C98293
H11,HDR-TH_18P-P2.54-V-M-R2-C9-S2.54-1,1,HX PZ2.54-2X9P ZZ,C42372517
H5,SOP-14_L10.2-W5.3-P1.27-LS7.8-BL,1,"TC74VHC08F_EL,K,F_",C6880155
H6,HDR-TH_4P-P2.54-V-M,1,Header-Male-2.54_1x4,C124378
"IC1, IC3",QFN-12_L4.0-W4.0-P0.80-BL-EP1.7,2,MD1213K6-G,C621434
"IC2, IC4",SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,2,TC6320TG-G,C624992
