Designator,Mid X,Mid Y,Rotation,Layer
C1,111.8108,-82.296,180.0,top
C10,91.9936,-65.4812,90.0,top
C100,148.463,-105.89,0.0,top
C101,149.0218,-108.811,90.0,top
C102,148.4122,-107.3124,180.0,top
C103,147.828,-108.8872,90.0,top
C104,155.702,-105.7402,180.0,top
C105,155.4734,-104.3686,0.0,top
C107,149.5178,-110.4138,180.0,top
C108,153.289,-94.5642,90.0,top
C109,154.355801,-94.5642,90.0,top
C11,94.4574,-65.4812,90.0,top
C110,142.748,-101.1428,270.0,top
C111,144.0662,-101.2484,90.0,top
C112,155.9052,-98.806,90.0,top
C113,155.956,-96.0882,270.0,top
C114,155.8798,-102.7938,270.0,top
C115,161.157999,-99.6032,90.0,top
C116,162.936,-96.5044,0.0,top
C12,96.9264,-65.4812,90.0,top
C13,96.325201,-76.8566,270.0,top
C14,153.887998,-67.5038,270.0,top
C15,111.6076,-72.2376,180.0,top
C16,95.106001,-76.8566,270.0,top
C17,98.128601,-83.232,270.0,top
C18,101.4204,-79.6544,90.0,top
C19,93.496401,-79.395402,270.0,top
C2,144.362998,-74.3872,270.0,top
C20,95.9358,-87.0712,0.0,top
C21,142.051598,-69.8914,270.0,top
C22,140.014599,-69.8518,270.0,top
C23,138.0406,-69.8966,270.0,top
C24,134.747,-69.8754,270.0,top
C25,131.9276,-69.8754,270.0,top
C26,129.413,-69.8754,270.0,top
C27,146.623598,-71.3646,90.0,top
C28,150.368,-72.8218,180.0,top
C29,150.368,-70.9676,180.0,top
C3,129.9718,-76.2212,270.0,top
C30,121.9708,-109.982,270.0,top
C31,112.903,-102.7938,180.0,top
C32,121.5898,-95.7072,270.0,top
C33,116.1034,-108.2294,225.0,top
C34,114.6556,-101.3968,180.0,top
C35,114.5794,-98.6536,135.0,top
C36,119.3546,-95.123,90.0,top
C37,124.2314,-94.8182,45.0,top
C38,128.143,-108.9406,45.0,top
C39,129.9718,-101.981,0.0,top
C4,132.9218,-76.2212,270.0,top
